Quality	String
CottonWadOrder_simple	《红楼梦》中袭人的名字源自陆游的一句诗，请问这句诗是什么？
CottonWadOrder_simple	《诗经 小雅》中的哪一名句，常被用来比喻对于高尚品德的敬仰？
CottonWadOrder_simple	史上最后一个皇后的名和字取自一句非常非常有名的诗句，此诗句用以形容女神之美和轻盈如雁的身姿，此诗句是？
CottonWadOrder_simple	晚唐杜牧是个风流才子，其早年曾偶遇一美人，时光流逝，再遇见时，美人已经成亲生子，诗人怅恨不已，写下了以植物喻美人的千古名句是？
CottonWadOrder_simple	“何方可化身千亿，一树梅前一放翁”是陆游的名句，却是化用了唐人的诗句，该句是？若为化得身千亿，
Disorder_simple	七个成语各取一字组成一句诗：“风月无边、孤魂野鬼、刻舟求剑、人仰马翻、老气横秋、怡然自得、香象渡河”
Disorder_simple	七个成语各取一字组成一句诗：“覆水难收、包罗万象、事在人为、河东狮吼、计上心来、流芳百世、旷古未闻”
Disorder_simple	七个成语各取一字组成一句诗：“弱水三千、白头偕老、行云流水、悠然自得、空前绝后、文以载道、宛转悠扬”
Disorder_simple	七个成语各取一字组成一句诗：“一知半解、玉树琼枝、灯红酒绿、杏花春雨、神出鬼没、墙头马上、否极泰来”
Disorder_simple	七个成语各取一字组成一句诗：“世态炎凉、自知之明、绝世独立、风雨同舟、夕阳西下、万念俱灰、舍我其谁”
Disorder_simple	七个成语各取一字组成一句诗：“各有千秋、金碧辉煌、欲擒故纵、问天买卦、封侯拜相、讳莫如深、琴歌酒赋”
Disorder_simple	七个成语各取一字组成一句诗：“心猿意马、留连忘返、不学无术、来龙去脉、雁过留声、阳关三叠、权衡利弊
Disorder_simple	七个成语各取一字组成一句诗：“风花雪月、光明磊落、子虚乌有、望帝啼鹃、傲雪凌霜、满载而归、天荒地老”
Disorder_simple	七个成语各取一字组成一句诗：“马踏飞燕、行尸走肉、万古留芳、东墙处子、人间天上、万人空巷、满天飞雪”
Disorder_simple	七个成语各取一字组成一句诗：“十面埋伏、夜长梦多、明哲保身、过河拆桥、一清二白、众星捧月、四海升平”
Disorder_simple	五个成语各取一字组成一句诗：“纸上谈兵，天长地久，不容置疑，雪上加霜，口是心非。”
Disorder_simple	五个成语各取一字组成一句诗：“风花雪月，相敬如宾，深明大义，照本宣科，空穴来风。”
Disorder_simple	五个成语各取一字组成一句诗：“胸有成竹，浑水摸鱼，徒劳无功，声情并茂，啧啧称羡。”
Disorder_simple	五个成语各取一字组成一句诗：“白头到老，其乐无穷，天马行空，高山流水，一无是处”？
Disorder_simple	五个成语各取一字组成一句诗：“心乱如麻，二话不说，投机倒把，对酒当歌，沧海桑。”
Disorder_simple	五个成语各取一字组成一句诗：“待字闺中，母仪天下，穿针引线，把手言欢，父慈子孝”。
Disorder_simple	五个成语各取一字组成一句诗：“明日黄花，只争朝夕，平易近人，各行其是，昏天黑地。”
Disorder_simple	五个成语各取一字组成一句诗：“刀耕火种，颗粒无收，妙手回春，不食周粟，一无所有。”
Other_simple	诗句“先期汗漫九垓上，愿接卢敖游太清“出自谁的哪部作品？
Other_simple	方文山的《烟花易冷》原名《伽蓝雨》，取材于何人的作品？
Other_simple	唐代著名的四大边塞诗人分别是谁？
Other_simple	孟浩然的死是间接被谁所害？
Other_simple	忘年之交最初是指哪两个人的交情？
Other_simple	“有客同心当骨肉，无钱买酒卖文章”此诗文的作者和节日分别是？
Other_simple	“生前何必久睡，死后自会长眠。”出自民国哪位女神的哪部作品？
Other_simple	“杜宇声声不忍闻。欲黄昏，雨打梨花深闭门。”作者与词牌是？
Other_simple	“天下文章数三江，三江文章数吾乡，吾乡文章数吾弟，吾为吾弟改文章“这么霸气的话出自何人之口？
Other_simple	他是五四运动的学生领袖，他提出的“上穷碧落下黄泉，动手对脚找东西“的原则影响深远。请问他是谁？
Other_simple	“言念君子，温其在邑。方何为期，胡然我念之。”出自诗经的那一部分？
Other_simple	清代词人纳兰性德的号是什么？
Other_simple	“生离，是朦胧的月日，死别是憔悴的落花。”出自谁的诗集？
Other_simple	“我是宝剑，我是火花。我愿生如闪电之耀亮，我愿死如彗星之迅忽。”请问这是民国女神石评梅给谁刻的墓志铭？
Other_simple	“我想游戏人间，反被人间游戏了我！”、“我就是喜欢玩火，我愿让火把我烧成灰烬。”语出民国女神福州三大才女之一——庐隐。
Other_simple	“卑鄙是卑鄙者的通行证，高尚是高尚者的墓志铭” 这首诗叫什么？
Other_simple	理学大师周敦颐也是曾避讳宋英宗赵曙而改的名，请问周敦颐的原名是什么？
Other_simple	少陵野老：“学书初学卫夫人，但恨不过王右军。丹青不知老将至，富贵于我如浮云。”此诗题赠哪名画家？
Other_simple	苏轼：“燕子楼空，佳人何在？空锁楼中燕。”词牌名是？
Other_simple	“永遇乐”仄韵词牌名为柳永所创，它有个别名是叫什么？
Other_simple	乌台诗案将结束时，苏轼被关在监狱里，等待最后判决，此时一直给他送饭的人是谁？苏迈
Other_simple	诗句“方同洛下书生咏，又见军前大将旗。”出自何人之手？
